slot_id,scheduled_date,scheduled_time,timezone,scheduled_at_utc,platform,account,format,pillar,source_url,source_file,source_path,schedule_action,content_sha256,visible_length,content
016,2026-06-08,06:00,America/Chicago,2026-06-08T11:00:00Z,linkedin,capveri,carousel,erp-exports,https://www.capveri.com/resources/export-cam-mri,marketing/content/resources/export-cam-mri.mdx,marketing/content/linkedin/campaigns/2026-06-07-to-2026-06-14/posts/2026-06-08-0600-mri-export-stack-016.md,schedule,7884d252eea059788d1d9aac6a8e7e8ecd0922127b0a0138888ec5c1cc61852c,687,"Carousel outline: The MRI export stack before CAM math

Slide 1: Do not start with the cap formula
- Start with the files.

Slide 2: Recovery Reconciliation
- Tenant recovery result by pool, in detail mode.

Slide 3: GL Transaction Detail
- Account, date, source, reference, and amount.

Slide 4: Rent Roll
- Tenant ID, suite, rentable SF, and lease dates.

Slide 5: Tenant Billing History
- Use it when estimate charges or invoice history are the question.

Slide 6: The period check
- Decide whether period 13 or 14 belongs in the year.

Slide 7: The entity check
- Make sure the expense entity and property selection match.

Slide 8: The order
- Export stack first. Lease math second."
017,2026-06-08,07:00,America/Chicago,2026-06-08T12:00:00Z,linkedin,capveri,text-short,audit-defense,https://www.capveri.com/resources/landlord-cam-audit-defense-playbook,marketing/content/resources/landlord-cam-audit-defense-playbook.mdx,marketing/content/linkedin/campaigns/2026-06-07-to-2026-06-14/posts/2026-06-08-0700-first-thirty-days-017.md,schedule,fae4ee13d459358b80acf15102c8631c9a86f84016d140ee851c53c392ef76d0,677,"The first 30 days after a tenant audit notice are mostly about control.

Who owns the response?
Which lease clause governs the request?
Which years are in scope?
Which records can be produced without scrambling?
Which disputed items are math errors, ambiguous lease reads, or unsupported claims?

That sorting work matters because a blanket denial is rarely useful.

A stronger response says:

This item is conceded.
This item is supported by these records.
This item depends on this lease interpretation.
This item is outside the documented scope.

CapVeri helps build that trail before the notice arrives, so the response starts from files and calculations instead of memory."
018,2026-06-08,08:00,America/Chicago,2026-06-08T13:00:00Z,linkedin,capveri,text-short,deterministic-math,https://www.capveri.com/resources/cam-gross-up-calculation-guide,marketing/content/resources/cam-gross-up-calculation-guide.mdx,marketing/content/linkedin/campaigns/2026-06-07-to-2026-06-14/posts/2026-06-08-0800-gross-up-threshold-018.md,schedule,90da7cf00cb238b13e85a699c9c533cbde753d0bdd50a043879953ac2d542b10,477,"90% and 95% are not interchangeable gross-up targets.

On $500,000 of variable expenses at 70% occupancy:

Gross-up to 90%:
$500,000 / 0.70 x 0.90 = $642,857

Gross-up to 95%:
$500,000 / 0.70 x 0.95 = $678,571

Difference:
$35,714 in the variable expense pool.

The spreadsheet may treat that as one input cell.

The lease treats it as the rule.

CapVeri keeps the target tied to the lease clause because a clean formula with the wrong threshold is still the wrong calculation."
019,2026-06-08,09:00,America/Chicago,2026-06-08T14:00:00Z,linkedin,capveri,text-short,lease-math,https://www.capveri.com/resources/pro-rata-share-calculation,marketing/content/resources/pro-rata-share-calculation.mdx,marketing/content/linkedin/campaigns/2026-06-07-to-2026-06-14/posts/2026-06-08-0900-move-out-reconciliation-019.md,schedule,09b580fef7fb1f4e6e034db7f08ee353a8ace53e99fbfdb2183477c62e47e383,565,"Move-outs make annual pro-rata math easy to get wrong.

A tenant that leaves on June 30 should not be treated like a full-year tenant.

A tenant that expands on July 1 should not have one annual numerator.

The year needs to be split into the periods the lease actually occupied:

Before move-out.
After move-out.
Before expansion.
After expansion.

Then the share gets calculated for each period and prorated by lease days.

CapVeri handles that as date-bound math, not a year-end shortcut.

Because the rent roll snapshot is a starting point, not the whole story."
020,2026-06-08,10:00,America/Chicago,2026-06-08T15:00:00Z,linkedin,capveri,text-short,lease-math,https://www.capveri.com/resources/cumulative-vs-non-cumulative-cam-caps,marketing/content/resources/cumulative-vs-non-cumulative-cam-caps.mdx,marketing/content/linkedin/campaigns/2026-06-07-to-2026-06-14/posts/2026-06-08-1000-cap-compounding-base-020.md,schedule,9839ea7df7d93fe68a01bb37cbd85d3a60bdec5f940930080c2197ebf513617f,671,"One CAM cap error stays quiet until expenses spike:

Compounding from last year's actual bill instead of last year's cap ceiling.

If actuals were below the ceiling, the two bases separate.

Year after year, the incorrect ceiling drifts lower. In a calm expense year, the issue may stay hidden because actuals are still under both numbers.

Then insurance, security, or maintenance jumps.

Suddenly the cap binds, and the building is using a ceiling that was quietly underbuilt for years.

CapVeri tracks the cap path from the prior ceiling, not from whatever happened to be billed last year.

That distinction is dull until it matters.

Then it is the whole calculation."
021,2026-06-08,11:00,America/Chicago,2026-06-08T16:00:00Z,linkedin,capveri,carousel,lease-math,https://www.capveri.com/resources/admin-fee-calculation-methods,marketing/content/resources/admin-fee-calculation-methods.mdx,marketing/content/linkedin/campaigns/2026-06-07-to-2026-06-14/posts/2026-06-08-1100-admin-fee-circularity-carousel-021.md,schedule,82923ac39842e911953672b7e815477769f0b7637dc82d2d571957ed3cab82dd,602,"Carousel outline: The admin fee circularity problem

Slide 1: ""15% of CAM"" may not be enough
- The base decides the fee.

Slide 2: Net method
- Fee = rate x expense base.

Slide 3: Gross method
- Fee is included in the total that the fee is based on.

Slide 4: The circularity
- The fee depends on a number that includes the fee.

Slide 5: The algebraic fix
- Fee = rate x base / (1 - rate).

Slide 6: The capped method
- Calculate the fee, then apply the lease ceiling.

Slide 7: The audit packet
- Keep the lease clause and worksheet together.

Slide 8: The control
- Method first. Percentage second."
022,2026-06-08,12:00,America/Chicago,2026-06-08T17:00:00Z,linkedin,capveri,text-short,boma-2024,https://www.capveri.com/resources/boma-2024-implementation-guide,marketing/content/resources/boma-2024-implementation-guide.mdx,marketing/content/linkedin/campaigns/2026-06-07-to-2026-06-14/posts/2026-06-08-1200-boma-parallel-run-022.md,schedule,bab80ba344e8af84abc37cd1a34efe89b58d625852d70155f3840dd49b400ab9,585,"The BOMA 2024 rollout step worth protecting:

Run the reconciliation both ways before go-live.

Current measurement.
Updated measurement.
Tenant by tenant comparison.
Variance review.
System check.

That parallel run catches the quiet mistakes:

Building total updated, suite RSF not updated.
Pro-rata shares no longer sum correctly.
Gross-up denominator still uses the old rentable area.
One lease references a fixed BOMA version while another allows updates.

CapVeri treats BOMA 2024 as an input-control project, not a slogan.

The first live statement should not be the first test."
023,2026-06-08,13:00,America/Chicago,2026-06-08T18:00:00Z,linkedin,capveri,text-short,anti-integration,https://www.capveri.com/resources/export-cam-yardi-voyager,marketing/content/resources/export-cam-yardi-voyager.mdx,marketing/content/linkedin/campaigns/2026-06-07-to-2026-06-14/posts/2026-06-08-1300-export-first-positioning-023.md,schedule,713c0ee977bfd6eac10746ca30c2764a3b1bde15ed8aab83074d2e3f570ffbc7,613,"CapVeri can find CAM risk without becoming the accounting system.

The useful data is already there:

Recovery report.
GL detail.
Rent roll.
Billing history when needed.

The question is whether those exports are complete, flat, tied to the same period, and matched back to lease rules.

That is the export-first view of CAM reconciliation.

No direct ERP integration promise.
No ""rip out the system"" story.
No black-box math.

Just the files property teams already know, tested against deterministic lease calculations.

Sometimes the fastest path to control is not a deeper integration.

It is a cleaner export."
024,2026-06-08,14:00,America/Chicago,2026-06-08T19:00:00Z,linkedin,capveri,text-short,audit-defense,https://www.capveri.com/resources/landlord-cam-audit-defense-playbook,marketing/content/resources/landlord-cam-audit-defense-playbook.mdx,marketing/content/linkedin/campaigns/2026-06-07-to-2026-06-14/posts/2026-06-08-1400-what-happens-next-024.md,schedule,dbde15b3f5474567bfb11eaadba880bab2e9b256fa59c25aba3ed5c5daa79259,640,"The useful question after a tenant flags a CAM charge is:

What happens next?

Not ""who made the mistake?""
Not ""can we explain this away?""

What happens next?

If the GL supports it, produce the invoice and clause.

If the math is wrong, recalculate and document the correction.

If the lease language is ambiguous, separate the interpretation issue from the arithmetic.

If the request is outside scope, say why with the lease language attached.

CapVeri is built for that response path: source record, lease rule, calculation, review status.

That is a better posture than searching through old folders while the clock is already running."
025,2026-06-08,15:00,America/Chicago,2026-06-08T20:00:00Z,linkedin,capveri,text-short,deterministic-math,https://www.capveri.com/resources/deterministic-vs-ai-cam,marketing/content/resources/deterministic-vs-ai-cam.mdx,marketing/content/linkedin/campaigns/2026-06-07-to-2026-06-14/posts/2026-06-08-1500-human-verified-extraction-025.md,schedule,4c5521f9b13b90ac31962b58ea609c0ac4f073b2701688ae04574fd125c6d117,590,"The safest place for AI in CAM reconciliation is before the math, not inside it.

Use it to extract lease clauses.
Use it to identify likely expense categories.
Use it to surface the fields a human needs to verify.

Then stop.

The calculation should run on confirmed inputs and explicit formulas.

That split matters because extraction can be reviewed. Math has to be reproducible.

CapVeri keeps AI-assisted document work separate from deterministic calculation for exactly that reason.

No model should be asked to ""probably"" allocate a tenant's charge.

The ledger should show the work."
026,2026-06-08,16:00,America/Chicago,2026-06-08T21:00:00Z,linkedin,capveri,text-short,erp-exports,https://www.capveri.com/resources/export-cam-yardi-voyager,marketing/content/resources/export-cam-yardi-voyager.mdx,marketing/content/linkedin/campaigns/2026-06-07-to-2026-06-14/posts/2026-06-08-1600-charge-schedule-estimates-026.md,schedule,6399e56c442a779214051b0a0045c187f33aa1104476c28d2389f075102cb206,612,"When the question is ""what did we bill?"" the GL is not enough.

For Yardi teams, Charge Schedule often becomes the support file.

It helps answer:

Which estimate charge was billed?
When did the estimate change?
Did the billed side move when the budget changed?
Which charge code carried the amount?

That matters because reconciliation is two-sided:

Adjusted actual obligation.
Estimated billings already collected.

The tenant's balance sits between those numbers.

CapVeri keeps billing support tied to the reconciliation because a correct expense pool still needs a correct credit for what was already paid."
