Yardi Voyager GL Detail Report
Report Date: 01/15/2024
Run by: System Administrator

Property,Account Code,Account Description,Date,Debit,Credit
Sunset Plaza,6000,Janitorial Services,01/15/2024,1250.00,
Sunset Plaza,6100,Utilities - Electric,01/20/2024,3500.00,
Sunset Plaza,6200,Property Insurance,01/10/2024,,4200.00
Sunset Plaza,6300,Property Taxes,01/25/2024,8500.00,
Sunset Plaza,6400,Landscaping,01/18/2024,850.00,
Sunset Plaza,6000,Janitorial Services,02/15/2024,1250.00,
Sunset Plaza,6100,Utilities - Electric,02/20/2024,3200.00,
Sunset Plaza,6200,Property Insurance,02/10/2024,,4200.00
Sunset Plaza,6300,Property Taxes,02/25/2024,8500.00,
Sunset Plaza,6400,Landscaping,02/18/2024,850.00,
