claim_id,post_file,claim_text,claim_type,source,verification_status,is_illustrative
0001,2026-05-19-0600-cam-math-001.md,A tenant question about the gross-up factor should not require rebuilding the workbook.,workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,post_body_statement_reviewed_against_source,no
0002,2026-05-19-0600-cam-math-001.md,"Before billing, compare actual occupancy to the lease target before applying a factor.",workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,post_body_statement_reviewed_against_source,no
0003,2026-05-19-0600-cam-math-001.md,"If actual occupancy is already at or above the target, the factor should be 1.0.",workflow-principle,https://www.capveri.com/resources/cam-gross-up-calculation-guide,illustrative_example,yes
0004,2026-05-19-0700-erp-workarounds-002.md,GL export QA should leave a trail a second reviewer can follow.,workflow-principle,https://www.capveri.com/resources/gl-analysis-explained,post_body_statement_reviewed_against_source,no
0005,2026-05-19-0700-erp-workarounds-002.md,1. Start with the lease rule. An export can balance and still be incomplete for CAM work.,workflow-principle,https://www.capveri.com/resources/gl-analysis-explained,post_body_statement_reviewed_against_source,no
0006,2026-05-19-0700-erp-workarounds-002.md,"2. Check the source data. Check date filters, accrual timing, entity scope, and excluded accounts.",workflow-principle,https://www.capveri.com/resources/gl-analysis-explained,post_body_statement_reviewed_against_source,no
0007,2026-05-19-0800-war-stories-003.md,Audit defense packet: one small setup choice can change the tenant answer.,workflow-principle,https://www.capveri.com/resources/landlord-cam-audit-defense-playbook,post_body_statement_reviewed_against_source,no
0008,2026-05-19-0800-war-stories-003.md,"Before billing, include source export, lease clause reference, calculation trace, and variance notes.",workflow-principle,https://www.capveri.com/resources/landlord-cam-audit-defense-playbook,post_body_statement_reviewed_against_source,no
0009,2026-05-19-0800-war-stories-003.md,"A tenant asking about landscaping should see the GL lines, allocation basis, and exclusion review.",workflow-principle,https://www.capveri.com/resources/landlord-cam-audit-defense-playbook,illustrative_example,yes
0010,2026-05-19-0900-anti-integration-004.md,Start with export-based verification.,workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,post_body_statement_reviewed_against_source,no
0011,2026-05-19-0900-anti-integration-004.md,Lease rule: CAM verification can work from exports without replacing the ERP.,workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,post_body_statement_reviewed_against_source,no
0012,2026-05-19-0900-anti-integration-004.md,"Source file: use CSV, Excel, and PDF outputs as the input layer.",workflow-principle,https://www.capveri.com/resources/data-migration-off-excel,post_body_statement_reviewed_against_source,no
0013,2026-05-19-1000-cam-math-005.md,CAM caps can expose drift in an otherwise clean CAM statement.,workflow-principle,https://www.capveri.com/resources/cam-expense-caps,post_body_statement_reviewed_against_source,no
0014,2026-05-19-1000-cam-math-005.md,"Before billing, confirm whether each cap is cumulative, non-cumulative, compounded, or fixed.",workflow-principle,https://www.capveri.com/resources/cam-expense-caps,post_body_statement_reviewed_against_source,no
0015,2026-05-19-1000-cam-math-005.md,A 5 percent cap can behave very differently depending on whether unused cap room carries forward.,workflow-principle,https://www.capveri.com/resources/cam-expense-caps,illustrative_example,yes
0016,2026-05-19-1100-industry-news-006.md,BOMA 2024: verify the source before you explain the number.,workflow-principle,https://www.capveri.com/resources/boma-2024-implementation-guide,post_body_statement_reviewed_against_source,no
0017,2026-05-19-1100-industry-news-006.md,"The useful visual is simple: CAM number on one side; source, rule, and trace on the other.",workflow-principle,https://www.capveri.com/resources/boma-2024-implementation-guide,post_body_statement_reviewed_against_source,no
0018,2026-05-19-1100-industry-news-006.md,"If the rule is portfolio-specific, name the portfolio policy in the file.",workflow-principle,https://www.capveri.com/resources/boma-2024-implementation-guide,post_body_statement_reviewed_against_source,no
0019,2026-05-19-1200-cam-math-007.md,A review of the base-year stop belongs in CAM close before final billing.,workflow-principle,https://www.capveri.com/resources/base-year-expense-stop,post_body_statement_reviewed_against_source,no
0020,2026-05-19-1200-cam-math-007.md,1. Start with the lease rule. Base-year leases compare current recoverable expenses against a baseline year.,workflow-principle,https://www.capveri.com/resources/base-year-expense-stop,post_body_statement_reviewed_against_source,no
0021,2026-05-19-1200-cam-math-007.md,2. Check the source data. Normalize one-time items before using the base year as a benchmark.,workflow-principle,https://www.capveri.com/resources/base-year-expense-stop,post_body_statement_reviewed_against_source,no
0022,2026-05-19-1300-erp-workarounds-008.md,Watch Yardi export review inside the export.,workflow-principle,https://www.capveri.com/resources/export-cam-yardi-voyager,post_body_statement_reviewed_against_source,no
0023,2026-05-19-1300-erp-workarounds-008.md,"Before billing, review recovery pool, share type, gross-up, cap, and exclusion settings against the lease.",workflow-principle,https://www.capveri.com/resources/export-cam-yardi-voyager,post_body_statement_reviewed_against_source,no
0024,2026-05-19-1300-erp-workarounds-008.md,The report can run cleanly while one tenant uses the wrong share type.,workflow-principle,https://www.capveri.com/resources/export-cam-yardi-voyager,illustrative_example,yes
0025,2026-05-19-1400-war-stories-009.md,Tenant disputes deserves a source check before anyone formats the packet.,workflow-principle,https://www.capveri.com/resources/tenant-cam-dispute,post_body_statement_reviewed_against_source,no
0026,2026-05-19-1400-war-stories-009.md,"Setup: many disputes start with missing support, not a dramatic accounting error.",workflow-principle,https://www.capveri.com/resources/tenant-cam-dispute,post_body_statement_reviewed_against_source,no
0027,2026-05-19-1400-war-stories-009.md,Drift: review the lines tenants are most likely to question before the packet is sent.,workflow-principle,https://www.capveri.com/resources/tenant-cam-dispute,post_body_statement_reviewed_against_source,no
0028,2026-05-19-1500-cam-math-010.md,Pro-rata denominator can expose drift in an otherwise clean CAM statement.,workflow-principle,https://www.capveri.com/resources/pro-rata-share-calculation,post_body_statement_reviewed_against_source,no
0029,2026-05-19-1500-cam-math-010.md,"Before billing, match the denominator to the lease, not just the building setup screen.",workflow-principle,https://www.capveri.com/resources/pro-rata-share-calculation,post_body_statement_reviewed_against_source,no
0030,2026-05-19-1500-cam-math-010.md,"Building RSF, occupied RSF, floor RSF, and pool RSF can all produce different percentages.",workflow-principle,https://www.capveri.com/resources/pro-rata-share-calculation,illustrative_example,yes
0031,2026-05-19-1600-anti-integration-011.md,Deterministic CAM math should leave a trail a second reviewer can follow.,workflow-principle,https://www.capveri.com/resources/deterministic-vs-ai-cam,post_body_statement_reviewed_against_source,no
