claim_id,post_file,claim_text,claim_type,attributed_source,needs_verification,is_illustrative
0001,2026-05-12-0700-erp-workarounds-002.md,Your Yardi GL export doesn't balance.,vendor-product,,yes,no
0002,2026-05-12-0700-erp-workarounds-002.md,Yardi can filter exports in ways that look identical on the surface but exclude late-posted accruals.,vendor-product,,yes,no
0003,2026-05-12-0700-erp-workarounds-002.md,None of this requires opening a support ticket with Yardi.,vendor-product,,yes,no
0004,2026-05-12-0800-war-stories-003.md,"Cell A44, a $142,000 annual insurance premium. fell through the gap.",dollar-figure,,no,no
0005,2026-05-12-0900-anti-integration-004.md,Yardi's standard GL detail export.,vendor-product,,yes,no
0006,2026-05-12-1100-industry-news-006.md,"""A 12% property tax increase on a building where taxes are 35% of the CAM pool moves total tenant charges by over 4% before any other expense changes.""",percentage,,no,no
0007,2026-05-12-1100-industry-news-006.md,"Harris County (Houston) assessments are up 10-14% per Harris Central Appraisal District data, Chicago-area townships are seeing 12-18% per Cook County Assessor filings, and similar increases are being reported nationally per CBRE and JLL market reports.",industry-stat,Harris Central Appraisal District,yes,no
0008,2026-05-12-1200-cam-math-007.md,"Seven CAM reconciliation errors cause the majority of the $15,000-$30,000 per-property recovery gap modeled across typical commercial portfolios.",dollar-figure,,no,no
0009,2026-05-12-1300-erp-workarounds-008.md,"If Yardi shows 5.26% and the lease says 5.00%, the field is using occupied area instead of total building RSF.",vendor-product,,yes,no
0010,2026-05-12-1400-war-stories-009.md,"A meaningful share of tenants find discrepancies on their own, without hiring a professional auditor (according to JLL 2023 research via PredictAP). - In California, SB 1103. effective January 2025. authorizes treble damages for willful overbilling against qualifying small-business tenants.",legal-regulatory,JLL 2023,yes,no
0011,2026-05-12-1400-war-stories-009.md,"If a court finds the overbilling was willful, the landlord owes three times the overcharge plus attorney's fees. - Four steps before every statement goes out: GL scrub to remove non-recoverable expenses; separate fixed and variable pools before applying any gross-up; flag any expense category growi…",percentage,,no,no
0012,2026-05-12-1400-war-stories-009.md,"""40% of reconciliations: material errors"" (over point 3)",percentage,,no,no
0013,2026-05-12-1400-war-stories-009.md,"""California: treble damages"" (over SB 1103 point)",legal-regulatory,,yes,no
0014,2026-05-12-1500-cam-math-010.md,"The BOMA standard exclusions are a starting point: CapEx, leasing commissions, tenant improvement costs, landlord-only costs, and management fees above the lease cap.",industry-stat,,yes,no
0015,2026-05-12-1500-cam-math-010.md,"Thirty percent of all CAM disputes trace back to CapEx inclusions, according to BOMA research.",industry-stat,BOMA,yes,no
0016,2026-05-12-1700-founder-012.md,BOMA 2024 vs. older measurement standards.,industry-stat,,yes,no
0017,2026-05-12-2000-engagement-015.md,"Remeasurements, new leases on the floor, and BOMA methodology changes all affect the denominator.",industry-stat,,yes,no
0018,2026-05-13-0600-cam-math-016.md,"Affiliated manager relationships (where the property management company is a related party) create additional exposure: if the market rate for the service is 3% and the landlord charges 5% to an entity they own, tenant auditors treat the 2-point spread as non-recoverable overhead.",percentage,,no,no
0019,2026-05-13-0700-erp-workarounds-017.md,Six fields in Yardi's recovery pool setup drive 90% of CAM calculation errors.,vendor-product,,yes,no
0020,2026-05-13-0900-anti-integration-019.md,"Purpose-built CAM software for the same portfolio typically costs $5,000-$25,000 per year based on publicly listed pricing from major CAM reconciliation software vendors.",dollar-figure,,no,no
0021,2026-05-13-0900-anti-integration-019.md,"Raymond Panko's spreadsheet error research (published via EuSpRIG) found errors in 88% of corporate spreadsheet models, with formula cells as the primary failure point.",industry-stat,EuSpRIG,yes,no
0022,2026-05-13-1100-industry-news-021.md,California's SB 1103 has been in effect for 14 months.,legal-regulatory,,yes,no
0023,2026-05-13-1100-industry-news-021.md,SB 1103 raised the cost of those errors in California.,legal-regulatory,,yes,no
0024,2026-05-13-1300-erp-workarounds-023.md,"On $500,000 of variable expenses, the difference between Physical and Economic occupancy in Yardi can be $82,500 in grossed-up pool total. billed directly to remaining tenants.",vendor-product,,yes,no
0025,2026-05-13-1400-war-stories-024.md,California under SB 1103 requires a specific demand sequence before treble damages apply to qualifying small-business tenants.,legal-regulatory,,yes,no
0026,2026-05-13-1500-cam-math-025.md,5 CAM reconciliation best practices from BOMA,industry-stat,,yes,no
0027,2026-05-13-1500-cam-math-025.md,BOMA standards specify economic occupancy for the gross-up calculation.,industry-stat,,yes,no
0028,2026-05-13-1500-cam-math-025.md,Check it against the most recent BOMA-certified measurement before calculations start.,industry-stat,,yes,no
0029,2026-05-13-1500-cam-math-025.md,BOMA's standard expense definitions provide the classification framework.,industry-stat,,yes,no
0030,2026-05-13-1600-anti-integration-026.md,"A formula error that produced a $5,000 variance in 2015 produces a $12,000 variance now because the expense pool is larger.",dollar-figure,,yes,no
0031,2026-05-13-1700-founder-027.md,A tenant signs a lease in 2021 with a 5% cumulative cap and a base year of 2020.,percentage,,yes,no
0032,2026-05-13-1800-cam-math-028.md,"BOMA 2024 changed how outdoor amenity spaces, rooftop terraces, and single-tenant mechanical areas are measured.",industry-stat,,yes,no
0033,2026-05-13-1800-cam-math-028.md,QUESTION: Where is your portfolio on BOMA 2024 adoption?,industry-stat,,yes,no
0034,2026-05-14-0600-cam-math-031.md,"A building that goes from 200,000 SF to 212,000 SF under BOMA 2024 didn't add a single square foot of new construction.",industry-stat,,yes,no
0035,2026-05-14-0600-cam-math-031.md,"That 12,000 SF increase comes from outdoor amenity spaces. rooftop terraces, courtyards, tenant patios. that prior BOMA standards excluded from rentable area.",industry-stat,,yes,no
0036,2026-05-14-0700-erp-workarounds-032.md,"Re-measured buildings, BOMA updates, space reconfigurations, none of these update automatically.",industry-stat,,yes,no
0037,2026-05-14-0700-erp-workarounds-032.md,"A $50,000 property tax bill grossed up at 50% occupancy adds $50,000 in phantom charges.",percentage,,no,no
0038,2026-05-14-0700-erp-workarounds-032.md,"G2 reviews of Yardi Commercial Management note that executing custom lease caveats requires extensive, costly support.",vendor-product,,yes,no
0039,2026-05-14-0700-erp-workarounds-032.md,An independent calculation layer reads your GL export and applies lease terms directly. not Yardi's configuration.,vendor-product,,yes,no
0040,2026-05-14-0800-war-stories-033.md,"FASB ASC 842 put variable CAM charges on tenant balance sheets,.",legal-regulatory,,yes,no
0041,2026-05-14-0800-war-stories-033.md,SB 1103 in California raised the financial upside of finding errors for small-business tenants.,legal-regulatory,,yes,no
0042,2026-05-14-0900-anti-integration-034.md,"At a 6% cap rate, it costs you $833,333 in property value. because NOI is capitalized.",percentage,,no,no
0043,2026-05-14-0900-anti-integration-034.md,"A $100,000 error at a 5% cap rate destroys $2,000,000.",percentage,,no,no
0044,2026-05-14-0900-anti-integration-034.md,"In a typical reconciliation cycle: 40% on data gathering, 25% on lease interpretation, 15% on actual calculation, 10% on quality review, 10% on statement generation and delivery.",percentage,,no,no
0045,2026-05-14-1100-industry-news-036.md,"""FASB ASC 842 didn't just change lease accounting.",legal-regulatory,,yes,no
0046,2026-05-14-1100-industry-news-036.md,ASC 842 requires tenants to capitalize operating leases on their balance sheets.,legal-regulatory,,yes,no
0047,2026-05-14-1100-industry-news-036.md,"Their CPAs now scrutinize every CAM reconciliation to correctly separate fixed from variable components. - Before ASC 842, CAM overbilling was an income statement issue for the tenant.",legal-regulatory,,yes,no
0048,2026-05-14-1100-industry-news-036.md,"After ASC 842, a miscalculated fixed versus variable split can distort the tenant's balance sheet.",legal-regulatory,,yes,no
0049,2026-05-14-1100-industry-news-036.md,That changes how seriously their finance team treats a disputed statement. - Audit request volume increased after ASC 842 adoption.,legal-regulatory,,yes,no
0050,2026-05-14-1100-industry-news-036.md,"Under ASC 842, tenants need reliable CAM estimates for their monthly accruals.",legal-regulatory,,yes,no
0051,2026-05-14-1100-industry-news-036.md,"""Audit request volume rose after ASC 842 adoption"" (over point 3)",legal-regulatory,,yes,no
0052,2026-05-14-1600-anti-integration-041.md,"For a 20-property office portfolio with $38M in recoverable expenses and an 87% recovery ratio against an industry benchmark of 92%, the gap is $1.9M per year.",percentage,,no,no
0053,2026-05-14-1700-founder-042.md,"Up to 3.5% of operating expense recoveries by property type, per BOMA EER and IREM Income/Expense Analysis benchmarks.",industry-stat,BOMA EER and IREM Income,yes,no
0054,2026-05-15-0600-cam-math-046.md,"""28% of tenants find CAM errors without retaining a professional auditor.""",percentage,,no,no
0055,2026-05-15-0600-cam-math-046.md,"According to JLL 2023 research via PredictAP, that's the number that should change how property controllers approach pre-send review.",industry-stat,JLL 2023,yes,no
0056,2026-05-15-0700-erp-workarounds-047.md,"Export the tenant roster from MRI with Share Type, Floor, and RSF columns.",vendor-product,,yes,no
0057,2026-05-15-0900-anti-integration-049.md,"For a 15-property portfolio, a typical cycle looks like this: 20-25% waiting for GL close and data gathering, 25-30% manual ERP-vs-lease verification, 20-25% rework from errors discovered late in the process, 15-20% statement drafting, 10-15% review and approval.",percentage,,no,no
0058,2026-05-15-1100-industry-news-051.md,National office vacancy hit 22.4% in Q1 2026,percentage,,yes,no
0059,2026-05-15-1100-industry-news-051.md,"At 22.4% national vacancy, many buildings are operating well below gross-up thresholds.",percentage,,no,no
0060,2026-05-15-1300-erp-workarounds-053.md,"When a lease renews and the CAM cap resets, RealPage requires a manual update to the base year in the lease record.",vendor-product,,yes,no
0061,2026-05-15-1300-erp-workarounds-053.md,"Properties with both residential and commercial tenants in the same RealPage database risk residential-specific GL accounts being mapped to commercial CAM pools. amenity costs, apartment maintenance, residential common area expenses.",vendor-product,,yes,no
0062,2026-05-15-1600-anti-integration-056.md,"At a 5% cost of capital, that's $2,500 per month in carrying cost.",percentage,,no,no
0063,2026-05-15-1600-anti-integration-056.md,SB 1103 requires landlords to respond to qualified small-business tenant documentation requests within 30 days.,legal-regulatory,,yes,no
0064,2026-05-15-1600-anti-integration-056.md,"The average invoice cycle takes 9.2 days from receipt to posting, according to PredictAP.",industry-stat,PredictAP,yes,no
0065,2026-05-15-1600-anti-integration-056.md,What automation changes: the 9.2-day invoice cycle compresses to 3.1 days with automated OCR coding (PredictAP data).,industry-stat,,yes,no
0066,2026-05-15-1700-founder-057.md,"But the gap between what's owed and what's actually collected runs up to 3.5% by property type, per BOMA EER and IREM Income/Expense Analysis benchmarks.",industry-stat,BOMA EER and IREM Income,yes,no
0067,2026-05-15-1800-cam-math-058.md,"A clean, current matrix answers 80% of audit questions before they become disputes.",percentage,,no,no
0068,2026-05-15-1900-product-059.md,"You export your GL from whatever system you're using: Yardi, MRI, AppFolio, or Excel.",vendor-product,,yes,no
0069,2026-05-16-0700-cam-math-061.md,"""Property insurance increased $0.31/SF ($13,200 total) due to policy renewal in March 2025 at market rates"" is an explanation.",dollar-figure,,yes,no
0070,2026-05-16-1130-anti-integration-064.md,"At 5% cost of capital, that's real carrying cost.",percentage,,no,no
0071,2026-05-16-1130-anti-integration-064.md,And the California layer: SB 1103 allows qualifying small-business tenants to request documentation.,legal-regulatory,,yes,no
0072,2026-05-16-1300-cam-math-065.md,"""Insurance premiums for commercial properties increased 15-25% in 2024 per Marsh and Lockton commercial market reports.",industry-stat,Marsh and Lockton,yes,no
0073,2026-05-16-1430-war-stories-066.md,"At a 6% cap rate, every $1 of stabilized NOI is worth $16.67 in asset value.",percentage,,no,no
0074,2026-05-16-1430-war-stories-066.md,"A 3-8 point improvement in recovery ratio on a $2M expense pool represents $60,000-$160,000 in annual NOI and $1-2.7 million in value at a 6% cap rate.",percentage,,no,no
0075,2026-05-16-1900-anti-integration-069.md,Inputs: BOMA EER recovery gap benchmarks; tenant audit firm published contingency rates.),industry-stat,,yes,no
0076,2026-05-17-0830-war-stories-072.md,"A 5-percentage-point recovery ratio gap on a $3M expense base is $150,000 in annual underrecovery, which is $2.5M in suppressed asset value at a 6% cap rate.",percentage,,no,no
0077,2026-05-17-1130-anti-integration-074.md,"Per IREM compensation survey data and Robert Half Real Estate & Property salary guides, approximate market ranges by level:",industry-stat,IREM,yes,no
0078,2026-05-17-1130-anti-integration-074.md,"""$45,000 in recovered expenses"" = ""$750,000 in property value at a 6% cap rate."" Speaking ownership's language.",percentage,,no,no
0079,2026-05-17-1600-cam-math-077.md,"On a 10-tenant inline strip center with a 40,000 SF anchor shortfall: the landlord absorbs $80,000 per year in unrecovered CAM from the anchor vacancy alone.",dollar-figure,,no,no
0080,2026-05-17-1900-anti-integration-079.md,"Raymond Panko's spreadsheet error research (published via EuSpRIG) found errors in 88% of corporate spreadsheet models, with formula cells as the primary failure point.",industry-stat,EuSpRIG,yes,no
0081,2026-05-18-0700-erp-workarounds-082.md,"""Integrates with Yardi"" covers a spectrum from ""your property manager exports a CSV"" to ""18 months of IT work, API credentials, firewall rules, and ongoing maintenance every time Yardi updates their API.""",vendor-product,,yes,no
0082,2026-05-18-0800-war-stories-083.md,"""The most common CAM billing error. gross-up applied to fixed expenses like property taxes and insurance. consistently ranks as one of the most common findings in tenant audit engagements, with dollar impacts that typically range from $20,000 to $150,000 per occurrence depending on building size an…",dollar-figure,,no,no
0083,2026-05-18-1000-cam-math-085.md,"Over three years, at a pro-rata share of 10% and normal expense growth, that normalization error produces $79,571 in overbilling for a single tenant.",percentage,,no,no
0084,2026-05-18-1100-industry-news-086.md,"In Miami and Tampa, property insurance costs increased 25-35% in 2025 per Marsh and Lockton Sun Belt commercial market reports.",industry-stat,Marsh and Lockton Sun Belt,yes,no
0085,2026-05-18-1300-erp-workarounds-088.md,"They want to trust their CAM output. - Replacing Yardi requires data migration, 12-18 months of implementation, retraining, and $500K-$2M+ for a mid-market portfolio.",vendor-product,,yes,no
0086,2026-05-18-1300-erp-workarounds-088.md,"They require a layer that sits alongside Yardi. - The workflow: export GL from Yardi (standard report, same one you run for month-end close), upload to independent reconciliation software, compare outputs.",vendor-product,,yes,no
0087,2026-05-18-1500-cam-math-090.md,A flat 3% estimate increase every year is not a forecast.,percentage,,no,no
0088,2026-05-18-1500-cam-math-090.md,Insurance premiums in commercial real estate have risen 8-15% annually since 2023.,percentage,,yes,no
0089,2026-05-18-1500-cam-math-090.md,A flat 3% forecast against 12% actual insurance growth creates a 9-point variance in just one line item.,percentage,,no,no
