slot_id,scheduled_date,scheduled_time,timezone,platform,account,pillar,topic,source_path,source_file,source_url,content
"001","2026-06-15","10:00","America/Chicago","linkedin","capveri","export-qa","export-stack","posts/linkedin/2026-06-15-1000-export-stack-001.md","marketing/content/resources/export-guide.mdx","https://www.capveri.com/resources/export-guide","The export stack comes before the workbook.

What to check comes before a bigger workbook.

The review needs a clear source trail.

A CAM review can start from rent roll, full-year GL detail, and recovery or billing exports.

Match property, period, tenant, and charge codes before math starts.

Save the export list with the packet.

Close note: export, lease term, math, support.

That is the difference between a charge and a packet.

#camreconciliation #propertyaccounting #cre"
"001","2026-06-15","09:00","America/Chicago","x","capveri","export-qa","export-stack","posts/x/2026-06-15-0900-export-stack-001.md","marketing/content/resources/export-guide.mdx","https://www.capveri.com/resources/export-guide","The export stack comes before the workbook. A CAM review can start from rent roll, full-year GL detail, and recovery or billing exports. Keep the math traceable."
"002","2026-06-15","12:00","America/Chicago","linkedin","capveri","yardi","yardi-exports","posts/linkedin/2026-06-15-1200-yardi-exports-002.md","marketing/content/resources/export-cam-yardi-voyager.mdx","https://www.capveri.com/resources/export-cam-yardi-voyager","Yardi CAM review starts with the file set.

A good CAM packet answers this before anyone asks:

Use detail-level output for the same property and period.

Recovery Analysis, GL Analytics, and Rent Roll with Lease Charges are core Yardi exports.

A summary report can hide the row that caused the charge.

Keep the source beside the charge.

The fix is boring. Save the support near the math.

Tie the source files before reviewing tenant shares.

#yardi #camreconciliation #crefinance"
"002","2026-06-15","13:00","America/Chicago","x","capveri","yardi","yardi-exports","posts/x/2026-06-15-1300-yardi-exports-002.md","marketing/content/resources/export-cam-yardi-voyager.mdx","https://www.capveri.com/resources/export-cam-yardi-voyager","Reminder: A summary report can hide the row that caused the charge. Use detail-level output for the same property and period."
"003","2026-06-15","19:00","America/Chicago","linkedin","capveri","mri","mri-period","posts/linkedin/2026-06-15-1900-mri-period-003.md","marketing/content/resources/export-cam-mri.mdx","https://www.capveri.com/resources/export-cam-mri","MRI review needs the right period first.

This is a useful where it breaks question:

Can a second reviewer follow the source, the rule, and the math?

Recovery Reconciliation, GL Transaction Detail, rent roll, and Tenant Billing History are safe MRI lanes.

Confirm entity, property, period, and tenant ID before export review.

One wrong period can make a clean statement look wrong.

Team note: make the next reviewer faster.

If the answer is no, the statement is early.

#mri #camreconciliation #propertyaccounting"
"003","2026-06-15","17:00","America/Chicago","x","capveri","mri","mri-period","posts/x/2026-06-15-1700-mri-period-003.md","marketing/content/resources/export-cam-mri.mdx","https://www.capveri.com/resources/export-cam-mri","MRI review needs the right period first. Put the period check in the packet notes. Show the reviewer path."
"004","2026-06-16","10:00","America/Chicago","linkedin","capveri","gross-up","variable-only","posts/linkedin/2026-06-16-1000-variable-only-004.md","marketing/content/resources/cam-gross-up-calculation-guide.mdx","https://www.capveri.com/resources/cam-gross-up-calculation-guide","Gross-up review starts with one split.

Why it matters: Variable expenses can be grossed up. Fixed costs need separate treatment.

Sort taxes, insurance, utilities, janitorial, and service costs before applying a factor.

Grossing up fixed costs can overstate the recovery pool.

The packet should show the fixed and variable split.

Packet note: save the rule before the total.

Question for the review team: where would you want proof first?

#camreconciliation #grossup #propertyaccounting"
"004","2026-06-16","09:00","America/Chicago","x","capveri","gross-up","variable-only","posts/x/2026-06-16-0900-variable-only-004.md","marketing/content/resources/cam-gross-up-calculation-guide.mdx","https://www.capveri.com/resources/cam-gross-up-calculation-guide","Reminder: Gross-up review starts with one split. Sort taxes, insurance, utilities, janitorial, and service costs before applying a factor. Tie it before billing."
"005","2026-06-16","12:00","America/Chicago","linkedin","capveri","pro-rata","denominator","posts/linkedin/2026-06-16-1200-denominator-005.md","marketing/content/resources/pro-rata-share-calculation.mdx","https://www.capveri.com/resources/pro-rata-share-calculation","A tenant share needs its denominator.

Where it breaks comes before a bigger workbook.

The review needs a clear source trail.

Tenant RSF over the lease-defined denominator drives the CAM share.

Store lease denominator, building RSF, excluded area, component area, or usage support.

Keep the denominator source next to the charge.

Control note: prove the input before the output.

That is the difference between a charge and a packet.

#camreconciliation #prorata #cre"
"005","2026-06-16","13:00","America/Chicago","x","capveri","pro-rata","denominator","posts/x/2026-06-16-1300-denominator-005.md","marketing/content/resources/pro-rata-share-calculation.mdx","https://www.capveri.com/resources/pro-rata-share-calculation","A tenant share needs its denominator. Tenant RSF over the lease-defined denominator drives the CAM share. Store proof with the packet."
